('2018-04-02 18:07:41.933351', '2018-04-02 18:23:52.893332', 1522706861933350912, 1522707832893332224, 2.13456093587418, 2252, 1.0, 147, 216)
('2018-04-02 18:23:52.893332', '2018-04-02 18:39:05.813316', 1522707832893332224, 1522708745813316352, 2.256116046486965, 1219, 1.0, 44, 54)
('2018-04-02 18:39:05.813316', '2018-04-02 18:55:00.023295', 1522708745813316352, 1522709700023294976, 2.2504313312781608, 1223, 1.0, 43, 50)
('2018-04-02 18:55:00.023295', '2018-04-02 19:10:00.033270', 1522709700023294976, 1522710600033270016, 2.288735651045349, 1212, 1.0, 42, 51)
('2018-04-02 19:10:00.033270', '2018-04-02 19:25:30.803248', 1522710600033270016, 1522711530803248128, 2.048025255288768, 2063, 1.0, 63, 82)
('2018-04-02 19:25:30.803248', '2018-04-02 19:40:44.033226', 1522711530803248128, 1522712444033225728, 2.263410654172157, 1236, 1.0, 42, 46)
('2018-04-02 19:40:44.033226', '2018-04-02 19:55:53.713212', 1522712444033225728, 1522713353713212160, 2.3119630165179905, 1195, 1.0, 42, 47)
('2018-04-02 19:55:53.713212', '2018-04-02 20:11:03.013189', 1522713353713212160, 1522714263013189376, 3.131762777466372, 581, 1.0, 45, 48)
('2018-04-02 20:11:03.013189', '2018-04-02 20:26:12.283170', 1522714263013189376, 1522715172283169792, 2.075074574047085, 2018, 1.0, 70, 96)
('2018-04-02 20:26:12.283170', '2018-04-02 20:42:21.373157', 1522715172283169792, 1522716141373156864, 2.274066917154173, 1208, 1.0, 43, 49)
('2018-04-02 20:42:21.373157', '2018-04-02 20:57:32.003124', 1522716141373156864, 1522717052003123968, 2.299004776038205, 1204, 1.0, 43, 50)
('2018-04-02 20:57:32.003124', '2018-04-02 21:12:41.253102', 1522717052003123968, 1522717961253102336, 2.2845032291230476, 1206, 1.0, 51, 62)
('2018-04-02 21:12:41.253102', '2018-04-02 21:27:50.353085', 1522717961253102336, 1522718870353085184, 2.0598457034963826, 2080, 1.0, 83, 105)
('2018-04-02 21:27:50.353085', '2018-04-02 21:42:59.613065', 1522718870353085184, 1522719779613064960, 2.266767524213207, 1225, 1.0, 44, 52)
('2018-04-02 21:42:59.613065', '2018-04-02 21:58:08.803048', 1522719779613064960, 1522720688803048448, 2.290739342716874, 1220, 1.0, 47, 58)
('2018-04-02 21:58:08.803048', '2018-04-02 22:13:18.103024', 1522720688803048448, 1522721598103024384, 2.2490208046255864, 1242, 1.0, 53, 65)
('2018-04-02 22:13:18.103024', '2018-04-02 22:29:28.093004', 1522721598103024384, 1522722568093003520, 2.0606398941814037, 2070, 1.0, 64, 82)
('2018-04-02 22:29:28.093004', '2018-04-02 22:44:37.462983', 1522722568093003520, 1522723477462982656, 2.2815260011053935, 1177, 1.0, 43, 52)
('2018-04-02 22:44:37.462983', '2018-04-02 23:00:00.022965', 1522723477462982656, 1522724400022964736, 1.8328446317133695, 5750, 1.0, 1716, 1740)
('2018-04-02 23:00:00.022965', '2018-04-02 23:15:55.252940', 1522724400022964736, 1522725355252940032, 3.34623033956081, 6725, 1.0, 1378, 1365)
('2018-04-02 23:15:55.252940', '2018-04-02 23:31:04.232920', 1522725355252940032, 1522726264232919808, 2.0548697505850035, 1985, 1.0, 65, 87)
('2018-04-02 23:31:04.232920', '2018-04-02 23:47:14.332896', 1522726264232919808, 1522727234332896256, 2.2628311767401517, 1350, 1.0, 48, 59)
('2018-04-03 00:00:00.002884', '2018-04-03 00:15:29.682868', 1522728000002884096, 1522728929682868480, 1.9251486925332446, 18234, 1.0, 10500, 10516)
('2018-04-03 00:15:29.682868', '2018-04-03 00:30:39.652840', 1522728929682868480, 1522729839652840192, 2.0805735554030997, 1996, 1.0, 64, 80)
('2018-04-03 00:30:39.652840', '2018-04-03 00:45:48.612821', 1522729839652840192, 1522730748612820736, 2.294024966601422, 1203, 1.0, 43, 52)
('2018-04-03 00:45:48.612821', '2018-04-03 01:00:57.722800', 1522730748612820736, 1522731657722800128, 2.300017717880841, 1199, 1.0, 48, 57)
('2018-04-03 01:00:57.722800', '2018-04-03 01:17:06.072776', 1522731657722800128, 1522732626072775936, 2.270120275632435, 1208, 1.0, 44, 57)
('2018-04-03 01:17:06.072776', '2018-04-03 01:32:16.902757', 1522732626072775936, 1522733536902757120, 2.0656741394133524, 2022, 1.0, 64, 84)
('2018-04-03 01:32:16.902757', '2018-04-03 01:47:26.372746', 1522733536902757120, 1522734446372745728, 2.2459616846701813, 1233, 1.0, 42, 49)
('2018-04-03 01:47:26.372746', '2018-04-03 02:02:35.472714', 1522734446372745728, 1522735355472713728, 2.264851915193539, 1224, 1.0, 49, 59)
('2018-04-03 02:02:35.472714', '2018-04-03 02:18:45.112694', 1522735355472713728, 1522736325112693504, 2.2827094326121578, 1212, 1.0, 41, 46)
('2018-04-03 02:18:45.112694', '2018-04-03 02:33:53.962678', 1522736325112693504, 1522737233962677504, 2.0850952739321342, 2032, 1.0, 63, 79)
('2018-04-03 02:33:53.962678', '2018-04-03 02:50:00.042653', 1522737233962677504, 1522738200042652672, 2.273562716253417, 1228, 1.0, 42, 46)
('2018-04-03 02:50:00.042653', '2018-04-03 03:06:13.172630', 1522738200042652672, 1522739173172630272, 2.2908457240518536, 1325, 1.0, 54, 70)
('2018-04-03 03:06:13.172630', '2018-04-03 03:21:22.182611', 1522739173172630272, 1522740082182610688, 2.058247559814043, 2046, 1.0, 84, 104)
('2018-04-03 03:21:22.182611', '2018-04-03 03:36:31.322590', 1522740082182610688, 1522740991322590464, 2.279146929133805, 1197, 1.0, 42, 46)
('2018-04-03 03:36:31.322590', '2018-04-03 03:52:39.762568', 1522740991322590464, 1522741959762567680, 2.256751452654576, 1239, 1.0, 42, 47)
('2018-04-03 03:52:39.762568', '2018-04-03 04:07:48.932554', 1522741959762567680, 1522742868932554496, 2.3095300472314064, 1189, 1.0, 48, 57)
('2018-04-03 04:07:48.932554', '2018-04-03 04:22:59.082526', 1522742868932554496, 1522743779082526208, 2.0841537589682937, 2052, 1.0, 62, 78)
('2018-04-03 04:22:59.082526', '2018-04-03 04:38:08.082506', 1522743779082526208, 1522744688082505728, 2.2854835149509456, 1224, 1.0, 47, 59)
('2018-04-03 04:38:08.082506', '2018-04-03 04:54:17.692485', 1522744688082505728, 1522745657692484864, 2.341750940825376, 1152, 1.0, 40, 44)
('2018-04-03 04:54:17.692485', '2018-04-03 05:09:26.152466', 1522745657692484864, 1522746566152465920, 2.267096513709897, 1221, 1.0, 50, 59)
('2018-04-03 05:09:26.152466', '2018-04-03 05:24:35.452450', 1522746566152465920, 1522747475452450304, 2.0690191802987896, 2033, 1.0, 62, 77)
('2018-04-03 05:24:35.452450', '2018-04-03 05:40:00.062424', 1522747475452450304, 1522748400062424064, 2.27454212879648, 1225, 1.0, 42, 47)
('2018-04-03 05:40:00.062424', '2018-04-03 05:55:53.762405', 1522748400062424064, 1522749353762405120, 2.285286211808919, 1203, 1.0, 41, 46)
('2018-04-03 05:55:53.762405', '2018-04-03 06:11:03.082383', 1522749353762405120, 1522750263082382592, 2.279563848382518, 1241, 1.0, 50, 60)
('2018-04-03 06:11:03.082383', '2018-04-03 06:26:13.602362', 1522750263082382592, 1522751173602362112, 2.0762063253119374, 2033, 1.0, 69, 91)
('2018-04-03 06:26:13.602362', '2018-04-03 06:42:20.762338', 1522751173602362112, 1522752140762338304, 2.275963690316323, 1212, 1.0, 43, 49)
('2018-04-03 06:42:20.762338', '2018-04-03 06:57:30.792323', 1522752140762338304, 1522753050792322560, 2.287313628256771, 1191, 1.0, 40, 44)
('2018-04-03 06:57:30.792323', '2018-04-03 07:12:40.092301', 1522753050792322560, 1522753960092301056, 2.28398700990236, 1233, 1.0, 49, 59)
('2018-04-03 07:12:40.092301', '2018-04-03 07:27:50.572278', 1522753960092301056, 1522754870572278272, 2.064486007384182, 1993, 1.0, 65, 82)
('2018-04-03 07:27:50.572278', '2018-04-03 07:44:00.032258', 1522754870572278272, 1522755840032258304, 2.2494171622142294, 1224, 1.0, 41, 48)
('2018-04-03 07:44:00.032258', '2018-04-03 07:59:09.032236', 1522755840032258304, 1522756749032235520, 2.2807125279590017, 1202, 1.0, 47, 55)
('2018-04-03 07:59:09.032236', '2018-04-03 08:14:17.872216', 1522756749032235520, 1522757657872216320, 2.3395737041211597, 1275, 1.0, 60, 82)
('2018-04-03 08:14:17.872216', '2018-04-03 08:30:26.562195', 1522757657872216320, 1522758626562195200, 2.2531947001359565, 2422, 1.0, 88, 132)
('2018-04-03 08:30:26.562195', '2018-04-03 08:46:20.122828', 1522758626562195200, 1522759580122828032, 2.9843383284956446, 1294, 1.0, 125, 157)
('2018-04-03 08:46:20.122828', '2018-04-03 09:02:20.242151', 1522759580122828032, 1522760540242151424, 2.6830619725314055, 990, 1.0, 54, 60)
('2018-04-03 09:02:20.242151', '2018-04-03 09:18:27.802134', 1522760540242151424, 1522761507802133504, 2.2314125611289506, 1273, 1.0, 43, 48)
