1522987244087147592,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','lsof'
1522987541537076593,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','smtpd'
1522988100977066981,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','imapd'
1522987244081943163,'Subject','lsof','EVENT_SENDTO','Netflow','128.55.12.10:53'
1522987840617086603,'Subject','smtpd','EVENT_EXECUTE','File','/usr/local/libexec/postfix/smtpd'
1522987542587077932,'Subject','smtpd','EVENT_WRITE','Netflow','158.6.227.198:47122'
1522987841877073364,'Subject','smtpd','EVENT_WRITE','Netflow','74.83.168.167:43287'
1522987840697072386,'Subject','smtpd','EVENT_OPEN','File','/usr/local/libexec/postfix/dynamicmaps.cf.d/pcre.cf'
1522987840807073525,'Subject','smtpd','EVENT_OPEN','File','/etc/spwd.db'
1522987541527076664,'Subject','smtpd','EVENT_SENDTO','Netflow','128.55.12.10:53'
1522987840677072328,'Subject','smtpd','EVENT_OPEN','File','/usr/local/etc/postfix/main.cf'
1522987840697072386,'Subject','smtpd','EVENT_OPEN','File','/usr/local/libexec/postfix/dynamicmaps.cf'
1522987840667074408,'Subject','smtpd','EVENT_OPEN','File','/usr/share/zoneinfo/posixrules'
1522987840797072206,'Subject','smtpd','EVENT_OPEN','File','/usr/local/etc/postfix/virtual.db'
1522987841597072960,'Subject','smtpd','EVENT_CLOSE','File','/usr/share/zoneinfo/UTC'
1522987541387077908,'Subject','smtpd','EVENT_CLOSE','File','/etc/nsswitch.conf'
1522988100977066981,'Subject','imapd','EVENT_SENDTO','Netflow','128.55.12.10:53'
1522987244087147592,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','lsof'
1522987541537076593,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','smtpd'
1522988100977066981,'Netflow','128.55.12.10:53','EVENT_RECVFROM','Subject','imapd'
1522987244081943163,'Subject','lsof','EVENT_SENDTO','Netflow','128.55.12.10:53'
1522987840617086603,'Subject','smtpd','EVENT_EXECUTE','File','/usr/local/libexec/postfix/smtpd'
1522987542587077932,'Subject','smtpd','EVENT_WRITE','Netflow','158.6.227.198:47122'
